Standort;Messzeitpunkt;Stunde;Wochentag;Wochentag ID;Kalenderwoche;Quartal;Lokale Zeitzone;Zeitintervall;Passantenaufkommen pro Standort;Richtung;Passantentyp;Passantenanzahl;ID;Kommune
Westenhellweg (Ost);2026-01-01T03:00:00+00:00;4;Donnerstag;4;1;1;Europe/Berlin;hour;43;Richtung - Ostenhellweg;Erwachsene;24;246;Dortmund
Westenhellweg (Ost);2026-01-01T03:00:00+00:00;4;Donnerstag;4;1;1;Europe/Berlin;hour;43;Richtung - Hansastraße;Kinder;0;246;Dortmund
Westenhellweg (Mitte);2026-01-01T03:00:00+00:00;4;Donnerstag;4;1;1;Europe/Berlin;hour;99;Richtung - Hansastraße;Erwachsene;45;49;Dortmund
Westenhellweg (Mitte);2026-01-01T03:00:00+00:00;4;Donnerstag;4;1;1;Europe/Berlin;hour;99;Richtung - Petrikirche;Kinder;0;49;Dortmund
Westenhellweg (West);2026-01-01T03:00:00+00:00;4;Donnerstag;4;1;1;Europe/Berlin;hour;63;Richtung - Westentor;Kinder;0;575;Dortmund
Westenhellweg (West);2026-01-01T03:00:00+00:00;4;Donnerstag;4;1;1;Europe/Berlin;hour;63;Richtung - Ostenhellweg;Erwachsene;32;575;Dortmund
Westenhellweg (Mitte);2026-01-01T03:00:00+00:00;4;Donnerstag;4;1;1;Europe/Berlin;hour;99;Richtung - Hansastraße;Kinder;0;49;Dortmund
Westenhellweg (Mitte);2026-01-01T03:00:00+00:00;4;Donnerstag;4;1;1;Europe/Berlin;hour;99;Richtung - Petrikirche;Erwachsene;54;49;Dortmund
Westenhellweg (Ost);2026-01-01T03:00:00+00:00;4;Donnerstag;4;1;1;Europe/Berlin;hour;43;Richtung - Hansastraße;Erwachsene;19;246;Dortmund
Westenhellweg (Ost);2026-01-01T03:00:00+00:00;4;Donnerstag;4;1;1;Europe/Berlin;hour;43;Richtung - Ostenhellweg;Kinder;0;246;Dortmund
Westenhellweg (Mitte);2026-01-01T04:00:00+00:00;5;Donnerstag;4;1;1;Europe/Berlin;hour;45;Richtung - Hansastraße;Kinder;0;49;Dortmund
Westenhellweg (West);2026-01-01T04:00:00+00:00;5;Donnerstag;4;1;1;Europe/Berlin;hour;33;Richtung - Ostenhellweg;Kinder;0;575;Dortmund
Westenhellweg (West);2026-01-01T04:00:00+00:00;5;Donnerstag;4;1;1;Europe/Berlin;hour;33;Richtung - Westentor;Erwachsene;17;575;Dortmund
Westenhellweg (Ost);2026-01-01T04:00:00+00:00;5;Donnerstag;4;1;1;Europe/Berlin;hour;29;Richtung - Ostenhellweg;Erwachsene;16;246;Dortmund
Westenhellweg (Mitte);2026-01-01T04:00:00+00:00;5;Donnerstag;4;1;1;Europe/Berlin;hour;45;Richtung - Hansastraße;Erwachsene;24;49;Dortmund
Westenhellweg (Mitte);2026-01-01T04:00:00+00:00;5;Donnerstag;4;1;1;Europe/Berlin;hour;45;Richtung - Petrikirche;Kinder;0;49;Dortmund
Westenhellweg (West);2026-01-01T04:00:00+00:00;5;Donnerstag;4;1;1;Europe/Berlin;hour;33;Richtung - Ostenhellweg;Erwachsene;16;575;Dortmund
Westenhellweg (West);2026-01-01T04:00:00+00:00;5;Donnerstag;4;1;1;Europe/Berlin;hour;33;Richtung - Westentor;Kinder;0;575;Dortmund
Westenhellweg (Mitte);2026-01-01T04:00:00+00:00;5;Donnerstag;4;1;1;Europe/Berlin;hour;45;Richtung - Petrikirche;Erwachsene;21;49;Dortmund
Westenhellweg (Ost);2026-01-01T04:00:00+00:00;5;Donnerstag;4;1;1;Europe/Berlin;hour;29;Richtung - Hansastraße;Erwachsene;13;246;Dortmund
Westenhellweg (Ost);2026-01-01T04:00:00+00:00;5;Donnerstag;4;1;1;Europe/Berlin;hour;29;Richtung - Hansastraße;Kinder;0;246;Dortmund
Westenhellweg (Ost);2026-01-01T04:00:00+00:00;5;Donnerstag;4;1;1;Europe/Berlin;hour;29;Richtung - Ostenhellweg;Kinder;0;246;Dortmund
Westenhellweg (Mitte);2026-01-01T05:00:00+00:00;6;Donnerstag;4;1;1;Europe/Berlin;hour;40;Richtung - Hansastraße;Kinder;0;49;Dortmund
Westenhellweg (Mitte);2026-01-01T05:00:00+00:00;6;Donnerstag;4;1;1;Europe/Berlin;hour;40;Richtung - Petrikirche;Erwachsene;23;49;Dortmund
Westenhellweg (Mitte);2026-01-01T05:00:00+00:00;6;Donnerstag;4;1;1;Europe/Berlin;hour;40;Richtung - Petrikirche;Kinder;0;49;Dortmund
Westenhellweg (West);2026-01-01T05:00:00+00:00;6;Donnerstag;4;1;1;Europe/Berlin;hour;19;Richtung - Ostenhellweg;Erwachsene;11;575;Dortmund
Westenhellweg (Ost);2026-01-01T05:00:00+00:00;6;Donnerstag;4;1;1;Europe/Berlin;hour;15;Richtung - Hansastraße;Erwachsene;5;246;Dortmund
Westenhellweg (Ost);2026-01-01T05:00:00+00:00;6;Donnerstag;4;1;1;Europe/Berlin;hour;15;Richtung - Hansastraße;Kinder;1;246;Dortmund
Westenhellweg (Mitte);2026-01-01T05:00:00+00:00;6;Donnerstag;4;1;1;Europe/Berlin;hour;40;Richtung - Hansastraße;Erwachsene;17;49;Dortmund
Westenhellweg (West);2026-01-01T05:00:00+00:00;6;Donnerstag;4;1;1;Europe/Berlin;hour;19;Richtung - Westentor;Erwachsene;8;575;Dortmund
Westenhellweg (West);2026-01-01T05:00:00+00:00;6;Donnerstag;4;1;1;Europe/Berlin;hour;19;Richtung - Westentor;Kinder;0;575;Dortmund
Westenhellweg (West);2026-01-01T05:00:00+00:00;6;Donnerstag;4;1;1;Europe/Berlin;hour;19;Richtung - Ostenhellweg;Kinder;0;575;Dortmund
Westenhellweg (Ost);2026-01-01T05:00:00+00:00;6;Donnerstag;4;1;1;Europe/Berlin;hour;15;Richtung - Ostenhellweg;Erwachsene;9;246;Dortmund
Westenhellweg (Ost);2026-01-01T05:00:00+00:00;6;Donnerstag;4;1;1;Europe/Berlin;hour;15;Richtung - Ostenhellweg;Kinder;0;246;Dortmund
Westenhellweg (Mitte);2026-01-01T06:00:00+00:00;7;Donnerstag;4;1;1;Europe/Berlin;hour;29;Richtung - Hansastraße;Kinder;0;49;Dortmund
Westenhellweg (Mitte);2026-01-01T06:00:00+00:00;7;Donnerstag;4;1;1;Europe/Berlin;hour;29;Richtung - Petrikirche;Erwachsene;15;49;Dortmund
Westenhellweg (Mitte);2026-01-01T06:00:00+00:00;7;Donnerstag;4;1;1;Europe/Berlin;hour;29;Richtung - Petrikirche;Kinder;0;49;Dortmund
Westenhellweg (West);2026-01-01T06:00:00+00:00;7;Donnerstag;4;1;1;Europe/Berlin;hour;34;Richtung - Ostenhellweg;Kinder;0;575;Dortmund
Westenhellweg (West);2026-01-01T06:00:00+00:00;7;Donnerstag;4;1;1;Europe/Berlin;hour;34;Richtung - Westentor;Erwachsene;13;575;Dortmund
Westenhellweg (Ost);2026-01-01T06:00:00+00:00;7;Donnerstag;4;1;1;Europe/Berlin;hour;28;Richtung - Hansastraße;Erwachsene;10;246;Dortmund
