location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents;towards Lappan pedestrians count;towards Markt pedestrians count;adult pedestrians count;child pedestrians count;adult towards Lappan pedestrians count;adult towards Markt pedestrians count;child towards Lappan pedestrians count;child towards Markt pedestrians count;zone 1 pedestrians count;zone 1 towards Lappan pedestrians count;zone 1 towards Markt pedestrians count;zone 2 pedestrians count;zone 2 towards Lappan pedestrians count;zone 2 towards Markt pedestrians count;collection_type
Achternstraße, Oldenburg;2025-02-13 00:00:00 +0100;Thursday;13060;1;snow;;6899;6161;12576;484;6637;5939;262;222;9064;6016;3048;3996;883;3113;measured
Achternstraße, Oldenburg;2025-02-14 00:00:00 +0100;Friday;19852;1;cloudy;;10973;8879;19122;730;10558;8564;415;315;14982;9940;5042;4870;1033;3837;measured
Achternstraße, Oldenburg;2025-02-15 00:00:00 +0100;Saturday;29820;2;partly-cloudy-day;;17150;12670;28641;1179;16487;12154;663;516;21910;15728;6182;7910;1422;6488;measured
Achternstraße, Oldenburg;2025-02-16 00:00:00 +0100;Sunday;4874;2;partly-cloudy-day;;2899;1975;4661;213;2760;1901;139;74;2680;2060;620;2194;839;1355;measured
Achternstraße, Oldenburg;2025-02-17 00:00:00 +0100;Monday;13299;2;clear-day;;7161;6138;12650;649;6814;5836;347;302;9745;6400;3345;3554;761;2793;measured
Achternstraße, Oldenburg;2025-02-18 00:00:00 +0100;Tuesday;13452;2;clear-day;;7290;6162;12769;683;6914;5855;376;307;9120;6520;2600;4332;770;3562;measured
Achternstraße, Oldenburg;2025-02-19 00:00:00 +0100;Wednesday;13275;5;clear-day;;7249;6026;12681;594;6916;5765;333;261;9632;6498;3134;3643;751;2892;measured
Achternstraße, Oldenburg;2025-02-20 00:00:00 +0100;Thursday;13421;7;rain;;7335;6086;12734;687;6976;5758;359;328;9759;6528;3231;3662;807;2855;measured
Achternstraße, Oldenburg;2025-02-21 00:00:00 +0100;Friday;20973;16;rain;;11590;9383;19956;1017;11012;8944;578;439;14480;10533;3947;6493;1057;5436;measured
Achternstraße, Oldenburg;2025-02-22 00:00:00 +0100;Saturday;31316;14;rain;;18093;13223;29941;1375;17312;12629;781;594;23124;16655;6469;8192;1438;6754;measured
Achternstraße, Oldenburg;2025-02-23 00:00:00 +0100;Sunday;5926;12;rain;;3503;2423;5679;247;3353;2326;150;97;3884;2767;1117;2042;736;1306;measured
Achternstraße, Oldenburg;2025-02-24 00:00:00 +0100;Monday;11684;13;rain;;6333;5351;11120;564;6034;5086;299;265;8151;5499;2652;3533;834;2699;measured
Achternstraße, Oldenburg;2025-02-25 00:00:00 +0100;Tuesday;14548;12;rain;;7928;6620;13794;754;7523;6271;405;349;10710;7136;3574;3838;792;3046;measured
Achternstraße, Oldenburg;2025-02-26 00:00:00 +0100;Wednesday;14331;9;rain;;7867;6464;13590;741;7450;6140;417;324;10245;7064;3181;4086;803;3283;measured
Achternstraße, Oldenburg;2025-02-27 00:00:00 +0100;Thursday;15154;8;rain;;8046;7108;14400;754;7623;6777;423;331;10639;7118;3521;4515;928;3587;measured
Achternstraße, Oldenburg;2025-02-28 00:00:00 +0100;Friday;19520;5;rain;;10587;8933;18718;802;10155;8563;432;370;14018;9448;4570;5502;1139;4363;measured
Achternstraße, Oldenburg;2025-03-01 00:00:00 +0100;Saturday;31962;6;cloudy;;18390;13572;30690;1272;17716;12974;674;598;23725;16881;6844;8237;1509;6728;measured
Achternstraße, Oldenburg;2025-03-02 00:00:00 +0100;Sunday;5565;9;partly-cloudy-day;;3382;2183;5330;235;3232;2098;150;85;3977;2891;1086;1588;491;1097;measured
Achternstraße, Oldenburg;2025-03-03 00:00:00 +0100;Monday;15569;10;partly-cloudy-day;;8603;6966;14819;750;8182;6637;421;329;11553;7801;3752;4016;802;3214;measured
Achternstraße, Oldenburg;2025-03-04 00:00:00 +0100;Tuesday;15160;11;partly-cloudy-day;;8309;6851;14369;791;7873;6496;436;355;10429;7473;2956;4731;836;3895;measured
